Make;Model;Vehicle Class;Engine Size(L);Cylinders;Transmission;Fuel Type;Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Fuel Consumption Comb (mpg);CO2 Emissions(g/km)
MAZDA;MAZDA6 (i-ELOOP);MID-SIZE;02. May;4;AS6;X;08. Sep;06. Jul;07. Sep;36;186
MAZDA;MAZDA6 (SIL);MID-SIZE;02. May;4;M6;X;09. Aug;06. Sep;08. Apr;34;196
MAZDA;MX-5;TWO-SEATER;2;4;AS6;Z;9;06. Jul;8;35;187
MAZDA;MX-5 (SIL);TWO-SEATER;2;4;M6;Z;08. Sep;07. Jan;08. Jan;35;190
MERCEDES-BENZ;AMG C 63;COMPACT;4;8;AS7;Z;13. Apr;09. Jun;11. Jul;24;273
MERCEDES-BENZ;AMG C 63 CABRIOLET;SUBCOMPACT;4;8;AS7;Z;14;10. Jan;12. Feb;23;291
MERCEDES-BENZ;AMG C 63 COUPE;SUBCOMPACT;4;8;AS7;Z;13. Aug;10. Jan;12. Jan;23;285
MERCEDES-BENZ;AMG C 63 S;COMPACT;4;8;AS7;Z;13. Apr;09. Jun;11. Jul;24;273
MERCEDES-BENZ;AMG C 63 S CABRIOLET;SUBCOMPACT;4;8;AS7;Z;14;10. Jan;12. Feb;23;291
MERCEDES-BENZ;AMG C 63 S COUPE;SUBCOMPACT;4;8;AS7;Z;13. Aug;10. Jan;12. Jan;23;285
MERCEDES-BENZ;AMG CLA 45;COMPACT;2;4;AS7;Z;10. Jul;07. Jun;09. Mar;30;221
MERCEDES-BENZ;AMG CLS 63 S 4MATIC;COMPACT;05. May;8;AS7;Z;15. Jan;10. Aug;13. Jan;22;308
MERCEDES-BENZ;AMG G 63;SUV - STANDARD;05. May;8;AS7;Z;20;16. Jun;18. May;15;413
MERCEDES-BENZ;AMG G 65;SUV - STANDARD;6;12;AS7;Z;22. Feb;18;20. Mar;14;467
MERCEDES-BENZ;AMG GLA 45 4MATIC;SUV - SMALL;2;4;AS7;Z;11. Mar;08. May;10;28;233
MERCEDES-BENZ;AMG GLC 43 4MATIC COUPE;SUV - SMALL;3;6;A9;Z;17. Apr;11. Jan;14. Jun;19;353
MERCEDES-BENZ;AMG GLE 43 4MATIC;SUV - STANDARD;3;6;A9;Z;13. Jun;10. Jan;12;24;281
MERCEDES-BENZ;AMG GLE 43 4MATIC COUPE;SUV - STANDARD;3;6;A9;Z;13. Jun;10. Feb;12;24;281
MERCEDES-BENZ;AMG GLE 63 S 4MATIC;SUV - STANDARD;05. May;8;AS7;Z;17. Mar;13. May;15. Jun;18;363
MERCEDES-BENZ;AMG GLE 63 S 4MATIC COUPE;SUV - STANDARD;05. May;8;AS7;Z;17. Feb;12. Aug;15. Feb;19;363
MERCEDES-BENZ;AMG GLS 63;SUV - STANDARD;05. May;8;AS7;Z;18. Feb;14;16. Mar;17;369
MERCEDES-BENZ;AMG GT COUPE;TWO-SEATER;4;8;AS7;Z;14. May;10. Aug;12. Aug;22;303
MERCEDES-BENZ;AMG GT S COUPE;TWO-SEATER;4;8;AS7;Z;14. May;10. Aug;12. Aug;22;303
MERCEDES-BENZ;AMG S 63 4MATIC;FULL-SIZE;05. May;8;AS7;Z;15. Jul;10. Jan;13. Feb;21;313
MERCEDES-BENZ;AMG S 63 CABRIOLET;COMPACT;05. May;8;AS7;Z;16. Apr;10. Jun;13. Aug;20;322
MERCEDES-BENZ;AMG S 63 COUPE;COMPACT;05. May;8;AS7;Z;15. Mar;10. Feb;13;22;305
MERCEDES-BENZ;AMG S 65;FULL-SIZE;6;12;AS7;Z;17. Jun;10. Sep;14. Jun;19;349
MERCEDES-BENZ;AMG S 65 CABRIOLET;COMPACT;6;12;AS7;Z;17. Jan;11;14. Mar;20;348
MERCEDES-BENZ;AMG S 65 COUPE;COMPACT;6;12;AS7;Z;18. Jul;11. Jun;15. May;18;365
MERCEDES-BENZ;AMG SL 63;TWO-SEATER;05. May;8;AS7;Z;14. Jul;09. May;12. Apr;23;298
MERCEDES-BENZ;AMG SL 65;TWO-SEATER;6;12;AS7;Z;17. Jun;10. Aug;14. May;19;340
MERCEDES-BENZ;AMG SLC 43;TWO-SEATER;3;6;A9;Z;11. Jun;08. Feb;10. Jan;28;234
MERCEDES-BENZ;B 250;MID-SIZE;2;4;AS7;Z;09. Jul;06. Jun;08. Mar;34;179
MERCEDES-BENZ;C 300 4MATIC;COMPACT;2;4;AS7;Z;10. Jan;07. Aug;9;31;212
MERCEDES-BENZ;C 300 4MATIC CABRIOLET;SUBCOMPACT;2;4;A9;Z;10. Aug;8;09. May;30;222
MERCEDES-BENZ;C 300 4MATIC COUPE;SUBCOMPACT;2;4;AS7;Z;10. Apr;8;09. Mar;30;218
MERCEDES-BENZ;CLA 250;COMPACT;2;4;AS7;Z;09. Jun;06. Apr;08. Jan;35;190
MERCEDES-BENZ;CLS 550 4MATIC;COMPACT;04. Jul;8;A9;Z;13. Jun;09. Apr;11. Jul;24;275
MERCEDES-BENZ;E 300 4MATIC;MID-SIZE;2;4;A9;Z;10. Aug;08. Jan;09. May;30;246
MERCEDES-BENZ;E 400 4MATIC;MID-SIZE;3;6;A9;Z;11. Aug;08. Jun;10. Apr;27;245
MERCEDES-BENZ;E 400 4MATIC WAGON;STATION WAGON - MID-SIZE;3;6;A9;Z;12. Apr;09. Mar;11;26;259
MERCEDES-BENZ;E 400 CABRIOLET;SUBCOMPACT;3;6;AS7;Z;11. May;08. Jan;10;28;233
MERCEDES-BENZ;E 400 COUPE;SUBCOMPACT;3;6;AS7;Z;11. Aug;08. Apr;10. Feb;28;239
MERCEDES-BENZ;E 550 CABRIOLET;SUBCOMPACT;04. Jul;8;AS7;Z;13. Jul;09. Feb;11. Jul;24;275
MERCEDES-BENZ;E 550 COUPE;SUBCOMPACT;04. Jul;8;AS7;Z;13. Apr;08. Sep;11. Apr;25;268
MERCEDES-BENZ;G 550;SUV - STANDARD;4;8;AS7;Z;19;16. Jun;17. Sep;16;401
MERCEDES-BENZ;GLA 250 4MATIC;SUV - SMALL;2;4;AS7;Z;10. Mar;07. Jun;09. Jan;31;212
MERCEDES-BENZ;GLA 250 4MATIC;SUV - SMALL;2;4;AS7;E;13. Jun;10;12;24;128
MERCEDES-BENZ;GLC 300 4MATIC;SUV - SMALL;2;4;A9;Z;11. Jan;08. May;10;28;233
MERCEDES-BENZ;GLE 400 4MATIC;SUV - STANDARD;3;6;A9;Z;13. Jan;10. Jan;11. Jul;24;276
MERCEDES-BENZ;GLE 550 4MATIC;SUV - STANDARD;04. Jul;8;A9;Z;15. Mar;11. Mar;13. May;21;318
MERCEDES-BENZ;GLS 450 4MATIC;SUV - STANDARD;3;6;A9;Z;14. Apr;11. Apr;13;22;306
MERCEDES-BENZ;GLS 550 4MATIC;SUV - STANDARD;04. Jul;8;A9;Z;16. Jul;12. Sep;15;19;347
MERCEDES-BENZ;MAYBACH S 600;FULL-SIZE;6;12;AS7;Z;18. Feb;11;15;19;359
MERCEDES-BENZ;METRIS CARGO;SPECIAL PURPOSE VEHICLE;2;4;AS7;Z;11. Jan;09. Jan;10. Feb;28;240
MERCEDES-BENZ;METRIS PASSENGER;SPECIAL PURPOSE VEHICLE;2;4;AS7;Z;11. May;09. Mar;10. May;27;248
MERCEDES-BENZ;S 400 4MATIC SWB;MID-SIZE;3;6;AS7;Z;12. Jun;08. Jun;10. Aug;26;253
MERCEDES-BENZ;S 550 4MATIC SWB;MID-SIZE;04. Jul;8;A9;Z;14. Mar;09. Feb;12;24;280
MERCEDES-BENZ;S 550 4MATIC LWB;FULL-SIZE;04. Jul;8;A9;Z;14. Mar;09. Feb;12;24;280
MERCEDES-BENZ;S 550 4MATIC CABRIOLET;COMPACT;04. Jul;8;A9;Z;13. Sep;09. Mar;11. Aug;24;276
MERCEDES-BENZ;S 550 4MATIC COUPE;COMPACT;04. Jul;8;A9;Z;14. Jan;09. Mar;11. Sep;24;278
MERCEDES-BENZ;S 600;FULL-SIZE;6;12;AS7;Z;17. May;10. Aug;14. May;19;350
MERCEDES-BENZ;SL 450;TWO-SEATER;3;6;A9;Z;11. May;08. Apr;10. Jan;28;237
MERCEDES-BENZ;SL 550;TWO-SEATER;04. Jul;8;A9;Z;13. Jun;09. May;11. Jul;24;275
MERCEDES-BENZ;SLC 300;TWO-SEATER;2;4;A9;Z;09. May;07. Feb;08. May;33;200
MINI;COOPER 3 DOOR;SUBCOMPACT;01. May;3;AS6;Z;08. Aug;06. Aug;07. Sep;36;184
MINI;COOPER 3 DOOR;SUBCOMPACT;01. May;3;M6;Z;08. May;06. Feb;07. May;38;175
MINI;COOPER 5 DOOR;SUBCOMPACT;01. May;3;AS6;Z;08. Aug;06. Aug;07. Sep;36;184
MINI;COOPER 5 DOOR;SUBCOMPACT;01. May;3;M6;Z;08. May;06. Mar;07. May;38;175
MINI;COOPER CLUBMAN;MID-SIZE;01. May;3;AS6;Z;09. May;07. Feb;08. Apr;34;197
MINI;COOPER CLUBMAN;MID-SIZE;01. May;3;M6;Z;09. Jun;7;08. Apr;34;197
MINI;COOPER CLUBMAN ALL4;MID-SIZE;01. May;3;AS8;Z;10. Feb;07. Aug;09. Jan;31;213
MINI;COOPER CLUBMAN ALL4;MID-SIZE;01. May;3;M6;Z;10. Jun;07. Apr;09. Jan;31;214
MINI;COOPER CONVERTIBLE;MINICOMPACT;01. May;3;AS6;Z;08. Aug;06. Aug;07. Sep;36;184
MINI;COOPER CONVERTIBLE;MINICOMPACT;01. May;3;M6;Z;08. May;06. Mar;07. May;38;175
MINI;COOPER COUNTRYMAN;MID-SIZE;01. May;3;AS6;Z;09. May;07. Feb;08. Apr;34;197
MINI;COOPER COUNTRYMAN;MID-SIZE;01. May;3;M6;Z;09. Jun;7;08. Apr;34;197
MINI;COOPER COUNTRYMAN ALL4;MID-SIZE;01. May;3;AS8;Z;10. Mar;07. Sep;09. Feb;31;215
MINI;COOPER COUNTRYMAN ALL4;MID-SIZE;01. May;3;M6;Z;10. Jun;07. Apr;09. Jan;31;214
MINI;COOPER S 3 DOOR;SUBCOMPACT;2;4;AS6;Z;09. Mar;07. Feb;08. Mar;34;196
MINI;COOPER S 3 DOOR;SUBCOMPACT;2;4;M6;Z;10. Feb;07. Mar;08. Sep;32;210
MINI;COOPER S 5 DOOR;SUBCOMPACT;2;4;AS6;Z;09. Mar;07. Feb;08. Mar;34;196
MINI;COOPER S 5 DOOR;SUBCOMPACT;2;4;M6;Z;10. Feb;07. Mar;08. Sep;32;210
MINI;COOPER S CLUBMAN;MID-SIZE;2;4;AS8;Z;10;07. Feb;08. Jul;32;205
MINI;COOPER S CLUBMAN;MID-SIZE;2;4;M6;Z;10. Aug;07. Jul;09. Apr;30;220
MINI;COOPER S CLUBMAN ALL4;MID-SIZE;2;4;AS8;Z;10. Feb;07. Apr;9;31;210
MINI;COOPER S CLUBMAN ALL4;MID-SIZE;2;4;M6;Z;11. Apr;07. Aug;09. Jul;29;227
MINI;COOPER S CONVERTIBLE;MINICOMPACT;2;4;AS6;Z;09. Apr;07. Feb;08. Apr;34;196
MINI;COOPER S CONVERTIBLE;MINICOMPACT;2;4;M6;Z;10. Feb;07. Mar;08. Sep;32;210
MINI;COOPER S COUNTRYMAN  ALL4;MID-SIZE;2;4;AS8;Z;10. May;07. Apr;09. Jan;31;213
MINI;COOPER S COUNTRYMAN  ALL4;MID-SIZE;2;4;M6;Z;11. Mar;07. Jul;09. Jul;29;227
MINI;JOHN COOPER WORKS 3 DOOR;SUBCOMPACT;2;4;AS6;Z;09. Mar;07. Feb;08. Mar;34;196
MINI;JOHN COOPER WORKS 3 DOOR;SUBCOMPACT;2;4;M6;Z;10. Feb;07. Mar;08. Sep;32;210
MINI;JOHN COOPER WORKS CLUBMAN ALL4;MID-SIZE;2;4;AS8;Z;10. Feb;07. Apr;9;31;210
MINI;JOHN COOPER WORKS CLUBMAN ALL4;MID-SIZE;2;4;M6;Z;11. Apr;07. Aug;09. Jul;29;227
MINI;JOHN COOPER WORKS CONVERTIBLE;MINICOMPACT;2;4;AS6;Z;09. Apr;07. Feb;08. Apr;34;196
MINI;JOHN COOPER WORKS CONVERTIBLE;MINICOMPACT;2;4;M6;Z;10. Aug;07. Jul;09. Apr;30;220
MITSUBISHI;LANCER;COMPACT;2;4;AV6;X;08. Jul;06. Sep;07. Sep;36;183
MITSUBISHI;LANCER;COMPACT;2;4;M5;X;09. Jul;07. Jan;08. May;33;200
MITSUBISHI;LANCER;COMPACT;02. Apr;4;AV6;X;09. Sep;07. Jul;08. Sep;32;206
MITSUBISHI;LANCER;COMPACT;02. Apr;4;M5;X;10. May;07. Aug;09. Mar;30;218
MITSUBISHI;LANCER 4WD;COMPACT;02. Apr;4;AV6;X;10. Feb;07. Sep;09. Feb;31;212
MITSUBISHI;LANCER SPORTBACK;STATION WAGON - SMALL;2;4;AV6;X;09. Mar;07. Feb;08. Apr;34;194
MITSUBISHI;LANCER SPORTBACK;STATION WAGON - SMALL;2;4;M5;X;09. Sep;07. Mar;08. Jul;32;205
MITSUBISHI;MIRAGE;COMPACT;01. Feb;3;AV;X;06. Apr;05. May;6;47;141
MITSUBISHI;MIRAGE;COMPACT;01. Feb;3;M5;X;07. Jan;05. Aug;06. May;43;150
MITSUBISHI;MIRAGE G4;COMPACT;01. Feb;3;AV;X;06. Sep;05. Jul;06. Apr;44;149
MITSUBISHI;MIRAGE G4;COMPACT;01. Feb;3;M5;X;07. Feb;05. Sep;06. Jun;43;155
MITSUBISHI;OUTLANDER;SUV - SMALL;02. Apr;4;AV6;X;09. Feb;07. May;08. Apr;34;197
MITSUBISHI;OUTLANDER 4WD;SUV - SMALL;02. Apr;4;AV6;X;09. Aug;08. Jan;9;31;211
MITSUBISHI;OUTLANDER 4WD;SUV - SMALL;3;6;AS6;Z;11. Sep;08. May;10. Apr;27;242
MITSUBISHI;RVR;SUV - SMALL;2;4;AV6;X;09. Jul;07. Aug;08. Aug;32;204
MITSUBISHI;RVR;SUV - SMALL;2;4;M5;X;10. Mar;08. Feb;09. Mar;30;216
MITSUBISHI;RVR 4WD;SUV - SMALL;2;4;AV6;X;10. Jan;08. Feb;09. Feb;31;213
NISSAN;370Z;TWO-SEATER;03. Jul;6;AS7;Z;12. Jun;09. Mar;11. Jan;25;261
NISSAN;370Z;TWO-SEATER;03. Jul;6;M6;Z;13. Mar;09. Mar;11. May;25;269
NISSAN;370Z ROADSTER;TWO-SEATER;03. Jul;6;AS7;Z;13;09. Jul;11. May;25;270
NISSAN;370Z ROADSTER;TWO-SEATER;03. Jul;6;M6;Z;13. Jun;09. Jul;11. Aug;24;278
NISSAN;ALTIMA;MID-SIZE;02. May;4;AV;X;08. Aug;6;07. May;38;176
NISSAN;ALTIMA;MID-SIZE;03. May;6;AV7;X;10. Jun;07. Mar;09. Jan;31;214
NISSAN;ALTIMA SR;MID-SIZE;02. May;4;AV7;X;08. Aug;06. May;07. Aug;36;183
NISSAN;ARMADA 4WD;SUV - STANDARD;05. Jun;8;AS7;X;17. May;12. Sep;15. Apr;18;362
NISSAN;FRONTIER;PICKUP TRUCK - SMALL;02. May;4;A5;X;13. May;10. May;12. Feb;23;286
NISSAN;FRONTIER;PICKUP TRUCK - SMALL;02. May;4;M5;X;12. Feb;10. Apr;11. Apr;25;268
NISSAN;FRONTIER;PICKUP TRUCK - SMALL;4;6;A5;X;14. Aug;10. Jun;12. Sep;22;304
NISSAN;FRONTIER 4WD;PICKUP TRUCK - SMALL;4;6;A5;X;15. Aug;11. May;13. Aug;20;326
NISSAN;FRONTIER 4WD;PICKUP TRUCK - SMALL;4;6;M6;X;15. Jan;11. May;13. May;21;317
NISSAN;GT-R;SUBCOMPACT;03. Aug;6;AM6;Z;14. May;10. Jul;12. Aug;22;300
NISSAN;JUKE;STATION WAGON - SMALL;01. Jun;4;AV7;Z;08. May;07. May;8;35;189
NISSAN;JUKE;STATION WAGON - SMALL;01. Jun;4;M6;Z;08. Jun;07. Feb;8;35;188
NISSAN;JUKE AWD;STATION WAGON - SMALL;01. Jun;4;AV7;Z;9;07. Aug;08. Apr;34;199
NISSAN;JUKE NISMO RS;STATION WAGON - SMALL;01. Jun;4;M6;Z;9;07. Jun;08. Apr;34;197
NISSAN;JUKE NISMO RS AWD;STATION WAGON - SMALL;01. Jun;4;AV8;Z;09. May;08. Mar;08. Sep;32;209
NISSAN;MAXIMA;MID-SIZE;03. May;6;AV7;Z;11. Jan;07. Aug;09. Jun;29;225
NISSAN;MICRA;COMPACT;01. Jun;4;A4;X;08. Sep;06. Aug;07. Sep;36;186
NISSAN;MICRA;COMPACT;01. Jun;4;M5;X;08. Jul;06. Aug;07. Sep;36;185
NISSAN;MURANO;STATION WAGON - MID-SIZE;03. May;6;AV7;X;11;08. Mar;09. Aug;29;230
NISSAN;MURANO AWD;STATION WAGON - MID-SIZE;03. May;6;AV7;X;11. Feb;08. Apr;09. Sep;29;232
NISSAN;NV200 CARGO VAN;SPECIAL PURPOSE VEHICLE;2;4;AV;X;09. Aug;9;09. Apr;30;220
NISSAN;PATHFINDER;SUV - SMALL;03. May;6;AV;X;11. Jun;08. May;10. Feb;28;240
NISSAN;PATHFINDER 4WD;SUV - SMALL;03. May;6;AV;X;12. Jan;08. Sep;10. Jul;26;250
NISSAN;PATHFINDER 4WD PLATINUM;SUV - SMALL;03. May;6;AV;X;12. Apr;09. Feb;11;26;258
NISSAN;QASHQAI;STATION WAGON - SMALL;2;4;AV;X;08. Aug;07. Mar;08. Jan;35;191
NISSAN;QASHQAI;STATION WAGON - SMALL;2;4;M6;X;10;08. Jan;09. Feb;31;216
NISSAN;QASHQAI AWD;STATION WAGON - SMALL;2;4;AV;X;09. Jan;07. May;08. Apr;34;197
NISSAN;ROGUE;SUV - SMALL;02. May;4;AV;X;09. Feb;7;08. Feb;34;192
NISSAN;ROGUE AWD;SUV - SMALL;02. May;4;AV;X;09. Jun;07. Apr;08. Jun;33;203
NISSAN;SENTRA (Turbo);MID-SIZE;01. Jun;4;AV7;Z;08. Sep;07. Mar;08. Feb;34;193
NISSAN;SENTRA (Turbo);MID-SIZE;01. Jun;4;M6;Z;09. Jan;07. Mar;08. Mar;34;195
NISSAN;SENTRA;MID-SIZE;01. Aug;4;AV;X;08. Jan;06. Mar;07. Mar;39;171
NISSAN;SENTRA;MID-SIZE;01. Aug;4;M6;X;9;06. Aug;8;35;187
NISSAN;SENTRA NISMO;MID-SIZE;01. Jun;4;AV7;Z;09. Apr;07. Aug;08. Jul;32;205
NISSAN;SENTRA NISMO;MID-SIZE;01. Jun;4;M6;Z;09. May;07. Jun;08. Jul;32;204
NISSAN;TITAN;PICKUP TRUCK - STANDARD;05. Jun;8;AS7;X;15;11. Feb;13. Mar;21;312
NISSAN;TITAN 4WD;PICKUP TRUCK - STANDARD;05. Jun;8;AS7;X;15. Feb;11. Jan;13. Apr;21;315
NISSAN;TITAN 4WD PRO-4X;PICKUP TRUCK - STANDARD;05. Jun;8;AS7;X;16;12;14. Feb;20;333
NISSAN;VERSA;MID-SIZE;01. Jun;4;AV;X;07. Jun;06. Feb;7;40;164
NISSAN;VERSA;MID-SIZE;01. Jun;4;M5;X;08. Jun;06. Jun;07. Jul;37;180
PORSCHE;911 CARRERA;MINICOMPACT;3;6;AM7;Z;10. Jun;8;09. Apr;30;221
PORSCHE;911 CARRERA;MINICOMPACT;3;6;M7;Z;11. Aug;08. Jan;10. Jan;28;237
PORSCHE;911 CARRERA CABRIOLET;MINICOMPACT;3;6;AM7;Z;10. Aug;08. Mar;09. Jul;29;227
PORSCHE;911 CARRERA CABRIOLET;MINICOMPACT;3;6;M7;Z;12;08. Feb;10. Mar;27;241
PORSCHE;911 CARRERA S;MINICOMPACT;3;6;AM7;Z;10. Aug;08. Mar;09. Jul;29;226
PORSCHE;911 CARRERA S;MINICOMPACT;3;6;M7;Z;12. Jan;08. Mar;10. Apr;27;242
PORSCHE;911 CARRERA S CABRIOLET;MINICOMPACT;3;6;AM7;Z;10. Aug;08. Apr;09. Jul;29;228
PORSCHE;911 CARRERA S CABRIOLET;MINICOMPACT;3;6;M7;Z;12. Jan;08. Mar;10. Apr;27;243
PORSCHE;911 CARRERA 4;MINICOMPACT;3;6;AM7;Z;10. Jul;08. Mar;09. Jun;29;225
PORSCHE;911 CARRERA 4;MINICOMPACT;3;6;M7;Z;12. Jan;08. Mar;10. Apr;27;242
PORSCHE;911 CARRERA 4 CABRIOLET;MINICOMPACT;3;6;AM7;Z;11;08. Apr;09. Aug;29;230
PORSCHE;911 CARRERA 4 CABRIOLET;MINICOMPACT;3;6;M7;Z;12. Feb;08. May;10. May;27;246
PORSCHE;911 CARRERA 4S;MINICOMPACT;3;6;AM7;Z;11;08. May;09. Sep;29;232
PORSCHE;911 CARRERA 4S;MINICOMPACT;3;6;M7;Z;12. Jan;08. Apr;10. Apr;27;243
PORSCHE;911 CARRERA 4S CABRIOLET;MINICOMPACT;3;6;AM7;Z;10. Sep;08. May;09. Sep;29;231
PORSCHE;911 CARRERA 4S CABRIOLET;MINICOMPACT;3;6;M7;Z;12. Feb;08. May;10. May;27;246
PORSCHE;911 TARGA 4;MINICOMPACT;3;6;AM7;Z;10. Sep;08. Apr;09. Aug;29;228
PORSCHE;911 TARGA 4;MINICOMPACT;3;6;M7;Z;12. Feb;08. May;10. May;27;246
PORSCHE;911 TARGA 4S;MINICOMPACT;3;6;AM7;Z;11. Jan;08. Jun;10;28;233
PORSCHE;911 TARGA 4S;MINICOMPACT;3;6;M7;Z;12. Feb;08. May;10. May;27;246
PORSCHE;911 TURBO;MINICOMPACT;03. Aug;6;AM7;Z;12. Jun;09. Sep;11. Apr;25;266
PORSCHE;911 TURBO CABRIOLET;MINICOMPACT;03. Aug;6;AM7;Z;12. Jun;09. Sep;11. Apr;25;267
PORSCHE;911 TURBO S;MINICOMPACT;03. Aug;6;AM7;Z;12. Jun;09. Sep;11. Apr;25;266
PORSCHE;911 TURBO S CABRIOLET;MINICOMPACT;03. Aug;6;AM7;Z;12. Jun;09. Sep;11. Apr;25;267
PORSCHE;BOXSTER;TWO-SEATER;2;4;AM7;Z;10. May;8;09. Apr;30;219
PORSCHE;BOXSTER;TWO-SEATER;2;4;M6;Z;11;08. Mar;09. Aug;29;229
PORSCHE;BOXSTER S;TWO-SEATER;02. May;4;AM7;Z;11;08. Apr;09. Sep;29;230
PORSCHE;BOXSTER S;TWO-SEATER;02. May;4;M6;Z;12. Jan;9;10. Jul;26;249
PORSCHE;CAYENNE;SUV - STANDARD;03. Jun;6;A8;Z;12. Sep;09. Jul;11. May;25;268
PORSCHE;CAYENNE PLATINUM;SUV - STANDARD;03. Jun;6;A8;Z;13. Jun;10. Feb;12. Jan;23;281
PORSCHE;CAYENNE S;SUV - STANDARD;03. Jun;6;A8;Z;13. Sep;09. Jun;12;24;281
PORSCHE;CAYENNE GTS;SUV - STANDARD;03. Jun;6;A8;Z;14. May;10. Apr;12. Jun;22;296
PORSCHE;CAYENNE TURBO;SUV - STANDARD;04. Aug;8;A8;Z;16. Jul;11. Feb;14. Feb;20;334
PORSCHE;CAYENNE TURBO S;SUV - STANDARD;04. Aug;8;A8;Z;16. Jul;11. Feb;14. Feb;20;334
PORSCHE;CAYMAN;TWO-SEATER;2;4;AM7;Z;10. May;8;09. Apr;30;219
PORSCHE;CAYMAN;TWO-SEATER;2;4;M6;Z;11;08. Mar;09. Aug;29;229
PORSCHE;CAYMAN S;TWO-SEATER;02. May;4;AM7;Z;11;08. Apr;09. Sep;29;230
PORSCHE;CAYMAN S;TWO-SEATER;02. May;4;M6;Z;12. Jan;9;10. Jul;26;249
PORSCHE;MACAN;SUV - SMALL;2;4;A7;Z;11. Jun;09. Mar;10. Jun;27;248
PORSCHE;MACAN S;SUV - SMALL;3;6;A7;Z;13. Jul;10. Mar;12. Feb;23;285
PORSCHE;MACAN GTS;SUV - SMALL;3;6;A7;Z;13. Aug;10. Mar;12. Mar;23;287
PORSCHE;MACAN TURBO;SUV - SMALL;03. Jun;6;A7;Z;14. Feb;10. Jan;12. Mar;23;287
RAM;1500 FFV;PICKUP TRUCK - STANDARD;03. Jun;6;A8;X;13. Sep;09. Jun;11. Sep;24;280
RAM;1500 FFV;PICKUP TRUCK - STANDARD;03. Jun;6;A8;E;19. Jul;13. Aug;17;17;283
RAM;1500;PICKUP TRUCK - STANDARD;05. Jul;8;A6;X;17;12;14. Aug;19;346
RAM;1500;PICKUP TRUCK - STANDARD;05. Jul;8;A8;X;15. Jul;11;13. Jun;21;319
RAM;1500 ECODIESEL;PICKUP TRUCK - STANDARD;3;6;A8;D;11. Aug;08. Jun;10. Apr;27;278
RAM;1500 4X4 FFV;PICKUP TRUCK - STANDARD;03. Jun;6;A8;X;14. May;10. Feb;12. Jun;22;294
RAM;1500 4X4 FFV;PICKUP TRUCK - STANDARD;03. Jun;6;A8;E;20. Jul;14. Jul;18;16;300
RAM;1500 4X4;PICKUP TRUCK - STANDARD;05. Jul;8;A6;X;17. May;12. Jul;15. Apr;18;361
RAM;1500 4X4;PICKUP TRUCK - STANDARD;05. Jul;8;A8;X;16. Jan;11. May;14;20;328
RAM;1500 4X4 ECODIESEL;PICKUP TRUCK - STANDARD;3;6;A8;D;12. Mar;08. Aug;10. Aug;26;289
RAM;PROMASTER CITY;SPECIAL PURPOSE VEHICLE;02. Apr;4;A9;X;11. Feb;08. Mar;09. Sep;29;232
ROLLS-ROYCE;DAWN;COMPACT;06. Jun;12;AS8;Z;20;12. Jun;16. Jul;17;390
ROLLS-ROYCE;GHOST;FULL-SIZE;06. Jun;12;AS8;Z;20;12. Jun;16. Jul;17;390
ROLLS-ROYCE;GHOST EWB;FULL-SIZE;06. Jun;12;AS8;Z;20;12. Jun;16. Jul;17;390
ROLLS-ROYCE;PHANTOM;FULL-SIZE;06. Jul;12;AS8;Z;20. Jul;12. Jul;17. Jan;17;400
ROLLS-ROYCE;PHANTOM EWB;FULL-SIZE;06. Jul;12;AS8;Z;20. Jul;12. Jul;17. Jan;17;400
ROLLS-ROYCE;PHANTOM COUPE;COMPACT;06. Jul;12;AS8;Z;20. Jul;12. Jul;17. Jan;17;400
ROLLS-ROYCE;PHANTOM DROPHEAD COUPE;COMPACT;06. Jul;12;AS8;Z;20. Jun;12. Aug;17. Jan;17;401
ROLLS-ROYCE;WRAITH;MID-SIZE;06. Jun;12;AS8;Z;19;12. May;16. Jan;18;375
SMART;FORTWO CABRIOLET;TWO-SEATER;0.9;3;AM6;Z;7;06. Mar;06. Jul;42;152
SUBARU;BRZ;MINICOMPACT;2;4;AS6;Z;09. Jul;07. Feb;08. Jun;33;200
SUBARU;BRZ;MINICOMPACT;2;4;M6;Z;11. Jan;8;09. Jul;29;228
SUBARU;CROSSTREK AWD;SUV - SMALL;2;4;AV6;X;09. Jan;07. Feb;08. Feb;34;193
SUBARU;CROSSTREK AWD;SUV - SMALL;2;4;M5;X;10. Mar;07. Aug;09. Feb;31;216
SUBARU;FORESTER AWD;SUV - SMALL;2;4;AV8;Z;10. Feb;08. Jun;09. May;30;223
SUBARU;FORESTER AWD;SUV - SMALL;02. May;4;AV6;X;09. Feb;07. Apr;08. Apr;34;196
SUBARU;FORESTER AWD;SUV - SMALL;02. May;4;M6;X;10. Sep;08. Mar;09. Jul;29;228
SUBARU;IMPREZA 4-DOOR AWD;MID-SIZE;2;4;AV7;X;08. Mar;06. Apr;07. May;38;174
SUBARU;IMPREZA 4-DOOR AWD;MID-SIZE;2;4;M5;X;10;07. May;08. Sep;32;208
SUBARU;IMPREZA 5-DOOR AWD;STATION WAGON - SMALL;2;4;AV7;X;08. Apr;06. May;07. May;38;176
